,ปี,จังหวัด,อำเภอ,อปท,รถเปิดข้างเทท้าย/คัน,รถแบบอัดท้าย (คัน),รถคอนเทนเนอร์ (คัน),รถบรรทุกเทท้าย (คัน),รถปิคอัพ (คัน),รถชนิดอื่นๆ (คัน)
129,2566,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0,2,0,0,0,0
130,2566,นนทบุรี,บางบัวทอง,อบต.ละหาร,0,9,0,0,0,0
131,2566,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0,5,0,0,1,0
132,2566,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0,0,0,0,0,0
133,2566,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,0,0,0,0,0,0
134,2567,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,0,0,0,0,0,0
135,2567,นนทบุรี,บางบัวทอง,เทศบาลนครบางบัวทอง,0,0,0,0,0,0
136,2567,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,0,0,0,0,0,0
137,2567,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองไทรม้า,0,6,0,0,0,0
138,2567,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1,13,2,2,0,0
139,2567,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางกร่าง,8,0,0,0,0,0
140,2567,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0,9,0,0,0,0
141,2567,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,0,0,0,0,0,0
142,2567,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0,11,0,0,0,0
143,2567,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,0,13,0,3,0,1
144,2567,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0,0,0,0,0,0
145,2567,นนทบุรี,บางใหญ่,เทศบาลเมืองเสาธงหิน,4,9,4,4,0,0
146,2567,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,0,0,0,0,0,0
147,2567,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,0,0,0,0,0,0
148,2567,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,0,1,0,0,0,0
149,2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,2,4,0,0,0,0
150,2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,1,8,2,0,0,0
151,2567,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,4,0,0,0,0,0
152,2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,0,0,0,0,0,0
153,2567,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,0,8,0,0,1,0
154,2567,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0,13,2,0,0,0
155,2567,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0,6,0,0,0,0
156,2567,นนทบุรี,ปากเกร็ด,อบต.เกาะเกร็ด,0,0,0,0,0,0
157,2567,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,0,0,0,0,0,0
158,2567,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0,0,0,0,0,0
159,2567,นนทบุรี,ปากเกร็ด,อบต.คลองข่อย,0,0,0,0,0,0
160,2567,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,0,4,0,0,0,0
161,2567,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0,0,0,0,0,0
162,2567,นนทบุรี,ปากเกร็ด,อบต.ท่าอิฐ,0,7,0,0,0,0
163,2567,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0,0,0,0,0,0
164,2567,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,0,0,0,0,0,0
165,2567,นนทบุรี,บางกรวย,อบต.บางขนุน,0,3,1,0,0,0
166,2567,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0,0,0,0,0,0
167,2567,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,0,3,0,0,0,0
168,2567,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,1,6,0,0,0,0
169,2567,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,0,0,0,0,0,0
170,2567,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,0,2,0,0,0,0
171,2567,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0,6,0,0,0,0
172,2567,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0,4,0,0,0,0
173,2567,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0,3,0,0,0,0
174,2567,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0,3,0,0,0,0
175,2567,นนทบุรี,บางบัวทอง,อบต.ละหาร,0,0,0,0,0,0
176,2567,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0,5,0,0,1,0
177,2567,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0,0,0,0,0,0
178,2567,นนทบุรี,ปากเกร็ด,อบต.อ้อมเกร็ด,0,0,0,0,0,0
