ปี,เดือน,จังหวัด,อำเภอ,อปท.,ขยะมูลฝอยชุมชน(ตัน)
2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,1137.5
2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,อบต.บางไผ่,444.78
2563,มีนาคม,นนทบุรี,เมืองนนทบุรี,อบต.บางรักน้อย,772.19
2563,เมษายน,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,147.68
2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.ขุนศรี,129.48
2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,161.14
2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,232.13
2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,704.25
2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,150.51
2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,749.0
2563,เมษายน,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,220.0
2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,1484.37
2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,431.2
2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,1656.42
2563,เมษายน,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,591.0
2563,เมษายน,นนทบุรี,บางกรวย,อบต.บางขนุน,355.57
2563,เมษายน,นนทบุรี,บางกรวย,อบต.บางขุนกอง,1000.0
2563,เมษายน,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,251.09
2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,1380.1
2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,1787.3
2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,1636.01
2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,1194.1
2563,เมษายน,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,1593.0
2563,เมษายน,นนทบุรี,บางบัวทอง,อบต.บางรักใหญ่,193.32
2563,เมษายน,นนทบุรี,บางบัวทอง,อบต.ละหาร,5096.17
2563,เมษายน,นนทบุรี,บางบัวทอง,อบต.ลำโพ,604.97
2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,806.1
2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,235.56
2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,720.0
2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,409.18
2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,797.56
2563,เมษายน,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,1209.86
2563,เมษายน,นนทบุรี,บางใหญ่,อบต.บางใหญ่,318.07
2563,เมษายน,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,234.75
2563,เมษายน,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,10796.59
