,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะอินทรีย์ลงถัง(ตัน)
121,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.39
122,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,4.5
123,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,0.85
124,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,141.99
125,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,242.5
126,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,25.23
127,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลเสาธงหิน,3.45
128,2563,พฤษภาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,0.5
129,2563,พฤษภาคม,นนทบุรี,บางใหญ่,อบต.บ้านใหม่,0.3
130,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,เทศบาลนครปากเกร็ด,20.0
131,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,เทศบาลตำบลบางพลับ,254.92
132,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.คลองพระอุดม,3.0
133,2563,พฤษภาคม,นนทบุรี,ปากเกร็ด,อบต.บางตะไนย์,64.79
134,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลนครนนทบุรี,3804.3
135,2563,พฤษภาคม,นนทบุรี,เมืองนนทบุรี,เทศบาลเมืองบางศรีเมือง,738.86
136,2563,มิถุนายน,นนทบุรี,ไทรน้อย,เทศบาลตำบลไทรน้อย,39.01
137,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,65.0
138,2563,มิถุนายน,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,120.0
139,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,400.0
140,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,161.68
141,2563,มิถุนายน,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,882.29
142,2563,มิถุนายน,นนทบุรี,บางกรวย,อบต.บางขนุน,196.29
