,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะรีไซเคิลลงถัง(ตัน)
125,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.78
126,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,20.0
127,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,297.77
128,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.8
129,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,600.01
130,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,3.0
131,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,109.03
132,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,140.0
133,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,6.0
134,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,297.64
135,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,261.15
136,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,483.66
137,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองใหม่บางบัวทอง,10.0
138,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,อบต.ลำโพ,0.39
139,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลเมืองบางแม่นาง,3.0
140,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางม่วง,3.25
141,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางเลน,354.97
142,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบางใหญ่,115.44
143,2563,พฤษภาคม,นนทบุรี,บางใหญ่,เทศบาลตำบลบ้านบางม่วง,53.33
144,2563,พฤษภาคม,นนทบุรี,บางใหญ่,อบต.บางใหญ่,250.5
