,ปี,เดือน,จังหวัด,อำเภอ,อปท,ขยะติดเชื้อ (ตัน),ขยะกำจัดถูกต้อง(ตัน)
182,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.คลองขวาง,0.0,0.0
183,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ทวีวัฒนา,0.02,0.02
184,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ไทรน้อย,0.0,0.0
185,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ไทรใหญ่,0.0,0.0
186,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.ราษฎร์นิยม,0.0,0.0
187,2563,พฤษภาคม,นนทบุรี,ไทรน้อย,อบต.หนองเพรางาย,0.06,0.06
188,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลเมืองบางกรวย,0.0,0.0
189,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลบางสีทอง,0.03,0.03
190,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลปลายบาง,0.178,0.178
191,2563,พฤษภาคม,นนทบุรี,บางกรวย,เทศบาลตำบลศาลากลาง,0.0,0.0
192,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.บางขนุน,0.0,0.0
193,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.บางขุนกอง,0.0,0.0
194,2563,พฤษภาคม,นนทบุรี,บางกรวย,อบต.มหาสวัสดิ์,0.0,0.0
195,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางคูรัด,0.0,0.0
196,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางบัวทอง,2.25,2.25
197,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองบางรักพัฒนา,0.0,0.0
198,2563,พฤษภาคม,นนทบุรี,บางบัวทอง,เทศบาลเมืองพิมลราช,0.0,0.0
